Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	73	16	16	18	22	21	26	18	19	20	20	20	30	22	22	16	20	18	21	18	21	21	16	18	18	19	19	18	18	17	19
(null)	74	18	23	18	19	19	19	20	18	22	22	22	21	19	21	19	20	16	22	19	20	22	18	19	20	16	18	19	19	18	19
(null)	75	15	19	19	18	20	16	19	19	21	21	17	21	21	23	17	20	19	20	19	19	21	20	18	22	19	19	19	24	18	17
(null)	76	16	8	17	14	35	26	29	15	24	24	23	45	10	31	27	37	20	0	6	15	24	14	25	10	12	11	5	20	1	33
(null)	77	12	11	17	25	15	37	10	11	23	16	17	27	11	32	22	18	15	26	9	18	24	24	22	14	16	10	16	27	29	17
(null)	78	33	25	18	46	16	11	54	10	14	12	10	23	16	15	14	27	9	37	15	10	13	13	14	7	16	19	20	18	16	14
(null)	79	31	14	18	26	11	24	24	17	19	21	22	15	21	21	27	17	14	14	16	18	23	23	21	21	22	12	11	9	10	19
(null)	80	15	22	17	27	15	16	19	21	26	27	21	16	15	37	14	17	19	21	11	17	16	15	16	18	16	21	15	16	19	16
(null)	81	19	14	24	20	18	17	24	14	16	21	18	24	20	19	20	19	21	22	22	19	16	14	16	16	21	15	20	16	19	14
(null)	82	11	9	43	10	17	23	26	5	8	5	9	34	69	39	7	13	74	14	12	7	13	1	3	5	17	6	3	8	24	42
(null)	83	29	26	18	23	11	13	21	18	19	18	19	22	17	20	14	17	14	25	23	16	17	14	13	21	15	18	17	25	18	14
(null)	84	8	23	7	7	3	34	50	14	9	9	4	24	44	32	9	19	16	50	12	12	12	4	9	14	1	20	51	4	16	31
(null)	85	15	18	20	18	15	16	21	16	11	18	18	17	12	20	13	9	18	23	18	18	20	22	21	22	13	16	20	26	22	17
(null)	87	18	9	16	22	13	18	17	17	14	25	15	32	16	21	17	30	17	14	14	12	18	12	14	11	14	14	15	25	36	13
(null)	88	25	6	26	21	16	14	17	8	15	18	17	25	9	25	18	30	14	23	20	11	11	9	12	12	7	9	24	44	26	10
(null)	89	16	18	15	16	19	28	17	16	21	22	12	24	23	18	15	16	15	23	13	13	12	15	15	21	17	13	19	17	16	16
(null)	90	13	14	16	14	18	27	16	13	22	19	17	26	13	19	16	17	20	16	19	19	16	14	13	15	19	14	13	23	17	15
(null)	91	25	16	17	22	15	16	26	12	10	12	12	21	15	14	14	17	15	29	21	14	16	14	13	17	12	19	16	15	17	12
(null)	92	15	18	16	19	16	14	15	15	16	18	16	16	18	15	17	18	16	23	16	17	16	15	16	15	18	18	15	15	17	15
(null)	93	44	14	18	15	11	27	12	15	17	14	15	35	12	20	11	18	13	17	15	6	10	10	9	11	13	15	11	24	22	17
(null)	94	10	15	15	11	12	9	30	3	13	7	7	16	42	34	5	11	38	44	16	3	15	9	2	27	18	9	19	28	5	18
(null)	95	13	17	11	18	18	23	13	14	14	24	17	18	12	15	15	17	16	17	16	16	16	16	14	14	20	18	14	14	20	16
(null)	96	2	15	45	10	14	19	23	52	11	12	35	11	64	16	10	4	20	3	8	6	37	2	7	4	11	9	6	9	6	11
(null)	97	38	10	11	15	16	10	18	11	11	9	9	22	12	22	13	15	18	31	14	22	20	15	19	16	12	12	15	14	16	13
(null)	98	11	17	14	15	21	19	21	11	13	18	18	22	10	35	8	16	11	28	15	19	17	16	18	13	13	15	8	11	10	12
(null)	99	4	0	46	17	9	5	3	17	68	49	68	23	31	6	2	2	21	11	13	5	4	1	3	17	20	1	2	19	2	3
(null)	100	16	27	16	14	15	18	16	20	11	6	11	16	21	15	15	16	15	14	17	15	13	15	14	15	12	21	16	16	19	17
(null)	101	40	12	12	9	18	30	13	14	16	15	15	18	18	18	12	11	6	18	15	17	13	12	9	24	11	14	9	19	14	8
(null)	102	15	2	20	14	7	2	23	21	27	12	31	10	61	12	1	7	62	11	3	1	23	3	6	27	12	2	7	4	8	26
(null)	103	26	5	22	14	8	17	33	7	10	12	9	14	26	16	11	18	9	75	12	15	11	18	16	13	6	7	4	12	5	7
(null)	104	25	19	18	9	14	10	14	13	9	9	10	20	14	12	15	15	10	19	15	14	20	21	17	10	11	14	14	31	25	10
(null)	105	9	2	46	5	8	28	72	0	24	27	15	23	20	24	6	9	27	6	2	7	11	2	0	34	0	1	21	1	14	12
(null)	106	18	24	15	14	13	15	16	16	11	16	12	17	24	17	16	16	14	16	13	13	13	12	12	13	14	14	13	20	14	14
(null)	107	18	15	14	14	18	20	15	18	15	17	12	14	16	13	14	12	14	17	16	12	12	15	15	15	17	14	15	16	16	14
(null)	108	3	13	52	4	9	27	12	3	12	6	6	14	58	22	9	5	59	23	5	2	7	0	0	9	25	5	1	24	9	25
(null)	109	18	7	8	29	24	16	13	13	11	12	18	30	10	29	13	28	15	12	12	13	13	13	12	14	10	5	5	17	15	10
(null)	110	15	13	17	13	17	13	14	11	16	19	17	17	19	16	12	15	12	17	14	10	15	13	10	17	11	20	16	13	14	16
(null)	111	31	27	8	21	2	30	37	9	8	5	11	17	3	22	6	12	15	14	19	14	8	13	7	19	4	19	25	10	11	14
(null)	112	13	6	15	22	11	70	15	6	16	16	15	23	8	34	8	19	14	23	4	4	7	5	5	20	10	3	9	14	10	12
(null)	113	12	13	16	15	16	13	13	17	13	13	13	14	22	19	15	13	11	16	14	13	19	16	15	12	12	15	13	12	14	15
(null)	114	14	12	10	19	23	26	22	6	11	13	10	29	11	18	8	25	15	35	11	12	11	7	9	12	9	7	8	19	5	15
(null)	115	13	16	15	15	15	17	14	14	14	12	17	15	12	13	14	13	13	17	14	14	16	11	13	14	16	14	16	16	14	14
(null)	116	8	4	29	30	23	28	61	2	19	15	16	17	0	51	1	7	16	6	7	5	20	9	11	12	6	1	2	8	4	8
(null)	117	13	15	13	15	12	14	17	9	12	21	11	14	15	16	12	13	17	15	15	13	12	13	15	17	13	14	16	14	17	13
(null)	118	0	32	33	1	3	33	1	8	10	9	12	37	57	33	7	3	47	1	5	6	7	1	4	2	3	1	0	10	9	50
